Lead I,Lead II,Lead III,Lead aVR,Lead aVL,Lead aVF,Lead V1,Lead V2,Lead V3,Lead V4,Lead V5,Lead V6
748.0,702.0,306.0,255.0,572.0,306.0,563.0,1225.0,2079.0,2288.0,1485.0,833.0
760.0,698.0,289.0,271.0,550.0,312.0,569.0,1232.0,2085.0,2288.0,1485.0,839.0
760.0,695.0,286.0,282.0,542.0,309.0,575.0,1235.0,2085.0,2288.0,1482.0,839.0
754.0,695.0,292.0,289.0,526.0,317.0,582.0,1244.0,2085.0,2282.0,1479.0,839.0
754.0,718.0,315.0,286.0,534.0,313.0,582.0,1244.0,2085.0,2282.0,1476.0,839.0
729.0,716.0,339.0,261.0,554.0,317.0,582.0,1244.0,2092.0,2282.0,1479.0,839.0
720.0,718.0,349.0,270.0,561.0,302.0,563.0,1225.0,2076.0,2288.0,1479.0,842.0
710.0,726.0,367.0,279.0,553.0,301.0,544.0,1207.0,2067.0,2288.0,1479.0,839.0
712.0,723.0,363.0,271.0,561.0,300.0,550.0,1213.0,2070.0,2285.0,1482.0,848.0
704.0,723.0,370.0,276.0,559.0,298.0,550.0,1213.0,2073.0,2288.0,1492.0,851.0
718.0,716.0,350.0,273.0,557.0,303.0,550.0,1213.0,2063.0,2298.0,1498.0,851.0
735.0,720.0,336.0,282.0,547.0,305.0,544.0,1213.0,2054.0,2301.0,1498.0,851.0
754.0,729.0,326.0,268.0,563.0,302.0,553.0,1216.0,2073.0,2310.0,1510.0,861.0
779.0,726.0,298.0,263.0,575.0,295.0,557.0,1219.0,2073.0,2320.0,1523.0,870.0
782.0,728.0,297.0,263.0,575.0,295.0,553.0,1216.0,2067.0,2329.0,1523.0,870.0
792.0,720.0,279.0,271.0,564.0,298.0,557.0,1225.0,2067.0,2326.0,1523.0,870.0
785.0,723.0,289.0,255.0,572.0,306.0,560.0,1228.0,2073.0,2329.0,1523.0,876.0
779.0,716.0,289.0,233.0,592.0,308.0,557.0,1225.0,2073.0,2326.0,1517.0,870.0
769.0,715.0,298.0,248.0,592.0,292.0,569.0,1228.0,2070.0,2320.0,1513.0,867.0
